Year,co2emissions,temperature
1945,31185.0,0.11499999999999999
1946,73799.0,-0.0375
1947,86701.0,-0.04916666666666667
1948,103123.0,-0.09000000000000001
1949,117955.0,-0.08750000000000001
1950,139392.0,-0.1775
1951,157457.0,-0.06833333333333334
1952,166769.0,0.006666666666666667
1953,170187.0,0.07583333333333334
1954,180079.0,-0.12583333333333332
1955,197485.0,-0.15
1956,209138.0,-0.20333333333333334
1957,212336.0,0.03416666666666667
1958,206461.0,0.0675
1959,206306.0,0.03
1960,222181.0,-0.024999999999999998
1961,227885.0,0.055
1962,241077.0,0.03
1963,258089.0,0.0625
1964,264486.0,-0.19833333333333336
1965,262081.0,-0.10166666666666667
1966,259713.0,-0.04833333333333334
1967,255564.0,-0.020833333333333332
1968,268820.0,-0.07
1969,287165.0,0.0675
1970,280079.0,0.024166666666666666
1971,283203.0,-0.08833333333333333
1972,284430.0,0.011666666666666665
1973,296565.0,0.15
1974,290319.0,-0.07416666666666667
1975,273909.0,-0.016666666666666666
1976,298109.0,-0.11416666666666668
1977,287719.0,0.18166666666666667
1978,295038.0,0.06916666666666667
1979,305691.0,0.1691666666666667
1980,300851.0,0.2725
1981,286798.0,0.32833333333333337
1982,277872.0,0.1325
1983,276803.0,0.3016666666666667
1985,285685.0,0.1175
1986,286670.0,0.19166666666666668
1987,282596.0,0.335
1988,281732.0,0.40750000000000003
1989,277389.0,0.29083333333333333
1990,276447.0,0.44333333333333336
